stage,oxygen_mg,saturation,kpa,temperature,dry_weight_g,mo2,mo2.1,mo2.2,mo2.3,mo2.4,kpa.mean
Adult,4,37.24,9.43,12,1.0664,0.150123834,0.140776289,0.00440201,4.402010276,4.694303759,9.44
Adult,4,37.24,9.43,12,0.8048,0.16257641,0.202008462,0.006316712,6.316712384,5.083690127,9.44
Adult,4,37.24,9.43,12,0.9676,0.146257653,0.151155078,0.00472655,4.726550268,4.573410039,9.44
Embryo,4,37.24,9.43,12,0.000103,6.88E-06,0.06677485,0.002088019,2.088019067,0.000215066,9.44
Embryo,4,37.24,9.43,12,0.000101,0.000007898,0.0781979,0.002445213,2.445212633,0.000246967,9.44
Embryo,4,37.24,9.43,12,0.000085,6.95E-06,0.081766976,0.002556816,2.556816006,0.000217329,9.44
Embryo,4,37.24,9.43,12,0.000087,0.000008009,0.092057194,0.002878586,2.87858643,0.000250437,9.44
Embryo,4,37.24,9.43,12,0.00009128,7.13E-06,0.078143412,0.002443509,2.443508824,0.000223044,9.44
Embryo,4,37.24,9.43,12,0.00009271,6.34E-06,0.068335758,0.002136828,2.136827946,0.000198105,9.44
Embryo,4,37.24,9.43,12,0.000101,6.39E-06,0.063281176,0.001978774,1.978773488,0.000199856,9.44
Embryo,4,37.24,9.43,12,0.000101,5.59E-06,0.055352349,0.001730843,1.730842683,0.000174815,9.44
Embryo,4,37.24,9.43,12,0.000103,5.93E-06,0.057526942,0.001798841,1.798841209,0.000185281,9.44
Embryo,4,37.24,9.43,12,0.00009057,6.86E-06,0.075713964,0.002367541,2.367541075,0.000214428,9.44
Juvenile,4,37.24,9.43,12,0.03411,0.01810328,0.530732349,0.016595758,16.59575825,0.566081314,9.44
Juvenile,4,37.24,9.43,12,0.04415,0.014389579,0.325924778,0.010191519,10.19151901,0.449955564,9.44
Juvenile,4,37.24,9.43,12,0.03773,0.017235684,0.456816438,0.014284442,14.28444147,0.538951977,9.44
Juvenile,4,37.24,9.43,12,0.0598,0.016506806,0.27603355,0.008631443,8.631443086,0.516160297,9.44
Juvenile,4,37.24,9.43,12,0.0395,0.01498,0.379240506,0.011858678,11.8586775,0.468417761,9.44
Juvenile,4,37.24,9.43,12,0.05058,0.0191675,0.378954132,0.011849723,11.8497227,0.599358974,9.44
